Institution,Count,Date
CNN,153,march_3
FOX,354,march_3
NBC,113,march_3
CNN,263,march_8
FOX,692,march_8
NBC,217,march_8
CNN,154,march_14
FOX,270,march_14
NBC,109,march_14
CNN,221,march_16
FOX,569,march_16
NBC,176,march_16
CNN,183,march_17
FOX,447,march_17
NBC,103,march_17
CNN,216,march_27
FOX,600,march_27
NBC,167,march_27
CNN,260,april_5
FOX,675,april_5
NBC,171,april_5
CNN,153,april_7
FOX,364,april_7
NBC,117,april_7
CNN,234,april_12
FOX,656,april_12
NBC,176,april_12
CNN,216,april_16
FOX,632,april_16
NBC,205,april_16
CNN,254,april_17
FOX,670,april_17
NBC,190,april_17
