Outlet,Figure,Negative,Neutral,Positive,Date,Totals
CNN,Biden,2,17,8,march_8,263
CNN,Trump,4,9,0,march_8,263
FOX,Biden,44,36,3,march_8,692
FOX,Trump,0,16,3,march_8,692
NBC,Biden,1,9,28,march_8,217
NBC,Trump,1,5,1,march_8,217
CNN,Biden,1,2,0,march_27,216
CNN,Trump,8,1,0,march_27,216
FOX,Biden,15,10,0,march_27,600
FOX,Trump,5,6,8,march_27,600
NBC,Biden,1,3,0,march_27,167
NBC,Trump,2,6,1,march_27,167
CNN,Biden,1,4,0,march_21,234
CNN,Trump,7,7,0,march_21,234
FOX,Biden,38,16,1,march_21,657
FOX,Trump,2,3,1,march_21,657
NBC,Biden,0,6,12,march_21,196
NBC,Trump,9,10,3,march_21,196
CNN,Biden,0,0,1,march_17,183
CNN,Trump,7,8,0,march_17,183
FOX,Biden,6,3,0,march_17,447
FOX,Trump,0,20,0,march_17,447
NBC,Biden,0,4,1,march_17,103
NBC,Trump,1,6,0,march_17,103
CNN,Biden,1,0,0,march_16,221
CNN,Trump,8,10,0,march_16,221
FOX,Biden,13,8,3,march_16,569
FOX,Trump,2,35,1,march_16,569
NBC,Biden,1,6,0,march_16,176
NBC,Trump,2,13,0,march_16,176
CNN,Biden,0,0,2,march_14,154
CNN,Trump,3,6,0,march_14,154
FOX,Biden,6,4,0,march_14,270
FOX,Trump,0,10,1,march_14,270
NBC,Biden,0,3,0,march_14,109
NBC,Trump,0,4,0,march_14,109
CNN,Biden,0,1,0,april_7,153
CNN,Trump,3,1,0,april_7,153
FOX,Biden,11,2,2,april_7,364
FOX,Trump,1,2,4,april_7,364
NBC,Biden,3,1,1,april_7,117
NBC,Trump,4,2,0,april_7,117
CNN,Biden,0,10,6,april_5,260
CNN,Trump,7,7,0,april_5,260
FOX,Biden,10,3,2,april_5,675
FOX,Trump,4,5,1,april_5,675
NBC,Biden,3,4,3,april_5,171
NBC,Trump,7,3,0,april_5,171
CNN,Trump,17,26,0,april_17,254
FOX,Biden,21,9,1,april_17,670
FOX,Trump,23,11,5,april_17,670
NBC,Biden,0,1,0,april_17,190
NBC,Trump,2,20,0,april_17,190
CNN,Trump,7,25,1,april_16,216
FOX,Biden,24,7,0,april_16,632
FOX,Trump,10,19,6,april_16,632
NBC,Biden,0,3,0,april_16,205
NBC,Trump,7,28,0,april_16,205
CNN,Biden,0,6,0,april_12,234
CNN,Trump,7,14,0,april_12,234
FOX,Biden,33,11,1,april_12,656
FOX,Trump,2,6,5,april_12,656
NBC,Biden,0,5,3,april_12,176
NBC,Trump,4,5,0,april_12,176
